WBS;Название задачи;Длительность;Предшественники
1.0;Система заказов KFC;0d;
1.1;Инициация;10d;
1.1.1;Устав проекта;5d;
1.1.2;Сбор требований;5d;3FS
1.2;Проектирование;28d;2FS
1.2.1;Архитектура системы;14d;2FS
1.2.2;Модель данных;7d;6FS
1.2.3;Контракты API и событий;7d;6FS
1.2.4;Интеграции;7d;6FS
1.2.5;Проектирование UI;14d;6FS
1.3;Разработка;41d;9FS
1.3.1;Инфраструктура и окружение;7d;9FS
1.3.2;Сервис каталога (Catalog);14d;7FS
1.3.3;Сервис заказов (Order);14d;8FS
1.3.4;Сервис оплаты (Payment);14d;9FS
1.3.5;Гео/заведения (Venue/Geo);7d;9FS
1.3.6;Трекинг курьера (CourierTracker);7d;9FS
1.3.7;Чат-канал (ChatClient);7d;8FS
1.3.8;Асинхронность и оркестрация;14d;8FS
1.3.9;Клиент гостя (SPA);14d;10FS
1.3.9.1;Авторизация в SPA;7d;10FS
1.3.9.2;Ключевые страницы;7d;21FS
1.3.10;CRM каталога;14d;10FS
1.3.11;Миграции и хранилища;7d;7FS
1.4;Тестирование;41d;12FS
1.4.1;Модульное тестирование;7d;11FS
1.4.2;Интеграционное тестирование;7d;11FS
1.4.3;Сквозное тестирование (E2E);7d;11FS
1.4.4;Нагрузочное тестирование;7d;12FS
1.4.5;Регресс перед релизом;14d;19FS
1.5;Внедрение и поставка;39d;30FS
1.5.1;Развёртывание стенда;31d;30FS
1.5.2;Документация;14d;26SS
1.5.3;Демонстрация и приёмка;14d;26SS
